state,district,month,total_enroll,total_updates,service_load,next_month_service_load
Bihar,Muzaffarpur,2025-11,5553,44859,50412,19938
Bihar,Nalanda,2025-06,1497,1742,3239,4340
Bihar,Nalanda,2025-07,2058,2282,4340,61910
Bihar,Nalanda,2025-09,4166,57744,61910,23520
Bihar,Nalanda,2025-10,3216,20304,23520,25617
Bihar,Nalanda,2025-11,3284,22333,25617,14294
Bihar,Nawada,2025-07,3672,4391,8063,31171
Bihar,Nawada,2025-09,4973,26198,31171,17186
Bihar,Nawada,2025-10,3915,13271,17186,17529
Bihar,Nawada,2025-11,3044,14485,17529,9453
Bihar,Pashchim Champaran,2025-03,126,0,126,21728
Bihar,Pashchim Champaran,2025-04,6709,15019,21728,14712
Bihar,Pashchim Champaran,2025-05,4966,9746,14712,6507
Bihar,Pashchim Champaran,2025-06,6507,0,6507,9642
Bihar,Pashchim Champaran,2025-07,9642,0,9642,63797
Bihar,Pashchim Champaran,2025-09,6959,56838,63797,47957
Bihar,Pashchim Champaran,2025-10,5118,42839,47957,53260
Bihar,Pashchim Champaran,2025-11,5541,47719,53260,20660
Bihar,Patna,2025-03,80,0,80,13767
Bihar,Patna,2025-04,3399,10368,13767,1686
Bihar,Patna,2025-05,474,1212,1686,3964
Bihar,Patna,2025-06,1367,2597,3964,6459
Bihar,Patna,2025-07,2110,4349,6459,73942
Bihar,Patna,2025-09,7310,66632,73942,37758
Bihar,Patna,2025-10,4239,33519,37758,45578
Bihar,Patna,2025-11,5003,40575,45578,21909
Bihar,Purba Champaran,2025-03,336,0,336,16395
Bihar,Purba Champaran,2025-04,4052,12343,16395,13310
Bihar,Purba Champaran,2025-05,4508,8802,13310,6198
Bihar,Purba Champaran,2025-06,6198,0,6198,8337
Bihar,Purba Champaran,2025-07,8337,0,8337,70333
Bihar,Purba Champaran,2025-09,8355,61978,70333,41683
Bihar,Purba Champaran,2025-10,4838,36845,41683,57956
Bihar,Purba Champaran,2025-11,6950,51006,57956,24033
Bihar,Purnea,2025-04,814,3721,4535,6262
Bihar,Purnea,2025-06,1418,4844,6262,6950
Bihar,Purnea,2025-07,1924,5026,6950,54100
Bihar,Purnea,2025-09,6170,47930,54100,37492
Bihar,Purnea,2025-10,5922,31570,37492,32779
Bihar,Purnea,2025-11,3344,29435,32779,19401
Bihar,Rohtas,2025-09,2924,28789,31713,19717
Bihar,Rohtas,2025-10,1862,17855,19717,26939
Bihar,Rohtas,2025-11,2673,24266,26939,11520
Bihar,Saharsa,2025-05,642,1651,2293,2811
Bihar,Saharsa,2025-06,826,1985,2811,4316
Bihar,Saharsa,2025-07,1238,3078,4316,37313
Bihar,Saharsa,2025-09,4182,33131,37313,20174
Bihar,Saharsa,2025-10,3017,17157,20174,22189
Bihar,Saharsa,2025-11,2993,19196,22189,10290
Bihar,Samastipur,2025-07,1014,1605,2619,58274
Bihar,Samastipur,2025-09,6232,52042,58274,32041
Bihar,Samastipur,2025-10,4965,27076,32041,44025
Bihar,Samastipur,2025-11,5878,38147,44025,21613
Bihar,Saran,2025-04,327,970,1297,2500
Bihar,Saran,2025-06,1111,1389,2500,5807
Bihar,Saran,2025-07,2531,3276,5807,44502
Bihar,Saran,2025-09,7139,37363,44502,32888
Bihar,Saran,2025-10,6190,26698,32888,39433
Bihar,Saran,2025-11,6205,33228,39433,18916
Bihar,Sheikhpura,2025-09,1423,12952,14375,6623
Bihar,Sheikhpura,2025-10,912,5711,6623,8313
Bihar,Sheikhpura,2025-11,846,7467,8313,2905
Bihar,Sheohar,2025-09,939,9403,10342,6293
Bihar,Sheohar,2025-10,848,5445,6293,6943
Bihar,Sheohar,2025-11,929,6014,6943,3480
Bihar,Sitamarhi,2025-03,1335,0,1335,17375
Bihar,Sitamarhi,2025-04,4564,12811,17375,31314
Bihar,Sitamarhi,2025-05,6884,24430,31314,18867
Bihar,Sitamarhi,2025-06,6476,12391,18867,25323
Bihar,Sitamarhi,2025-07,9117,16206,25323,47501
Bihar,Sitamarhi,2025-09,5131,42370,47501,28644
Bihar,Sitamarhi,2025-10,4033,24611,28644,37882
Bihar,Sitamarhi,2025-11,4754,33128,37882,18712
Bihar,Siwan,2025-05,665,1605,2270,1462
Bihar,Siwan,2025-06,504,958,1462,1402
Bihar,Siwan,2025-07,618,784,1402,30044
Bihar,Siwan,2025-09,4769,25275,30044,27130
Bihar,Siwan,2025-10,4172,22958,27130,29798
Bihar,Siwan,2025-11,4394,25404,29798,14836
Bihar,Supaul,2025-09,2911,26085,28996,24844
Bihar,Supaul,2025-10,3943,20901,24844,23482
Bihar,Supaul,2025-11,3231,20251,23482,11712
Bihar,Vaishali,2025-04,497,1538,2035,47395
Bihar,Vaishali,2025-09,6690,40705,47395,31331
Bihar,Vaishali,2025-10,5671,25660,31331,34593
Bihar,Vaishali,2025-11,4993,29600,34593,19010
Chandigarh,Chandigarh,2025-04,117,2809,2926,8352
Chandigarh,Chandigarh,2025-09,924,7428,8352,5192
Chandigarh,Chandigarh,2025-10,646,4546,5192,8852
Chandigarh,Chandigarh,2025-11,930,7922,8852,4059
Chandigarh,Rupnagar,2025-09,1,0,1,3
Chhattisgarh,Balod,2025-09,620,11797,12417,6358
Chhattisgarh,Balod,2025-10,440,5918,6358,11735
Chhattisgarh,Balod,2025-11,551,11184,11735,6236
Chhattisgarh,Baloda Bazar,2025-05,544,5585,6129,21935
Chhattisgarh,Baloda Bazar,2025-09,1551,20384,21935,17761
Chhattisgarh,Baloda Bazar,2025-10,1084,16677,17761,27408
Chhattisgarh,Baloda Bazar,2025-11,1609,25799,27408,12331
Chhattisgarh,Balrampur,2025-07,1988,6026,8014,14131
Chhattisgarh,Balrampur,2025-09,1794,12337,14131,6157
Chhattisgarh,Balrampur,2025-10,903,5254,6157,11760
Chhattisgarh,Balrampur,2025-11,1319,10441,11760,7696
Chhattisgarh,Bastar,2025-09,1757,20925,22682,13854
Chhattisgarh,Bastar,2025-10,1257,12597,13854,17043
Chhattisgarh,Bastar,2025-11,2528,14515,17043,10861
Chhattisgarh,Bemetara,2025-09,809,12383,13192,9954
Chhattisgarh,Bemetara,2025-10,750,9204,9954,18818
Chhattisgarh,Bemetara,2025-11,1109,17709,18818,9068
Chhattisgarh,Bijapur,2025-03,160,0,160,2902
Chhattisgarh,Bijapur,2025-04,658,2244,2902,2531
Chhattisgarh,Bijapur,2025-05,610,1921,2531,3092
Chhattisgarh,Bijapur,2025-06,632,2460,3092,3692
Chhattisgarh,Bijapur,2025-07,1391,2301,3692,4605
Chhattisgarh,Bijapur,2025-09,871,3734,4605,3027
Chhattisgarh,Bijapur,2025-10,631,2396,3027,5748
Chhattisgarh,Bijapur,2025-11,1217,4531,5748,4340
Chhattisgarh,Bilaspur,2025-07,1476,4449,5925,24665
Chhattisgarh,Bilaspur,2025-09,2826,21839,24665,28503
Chhattisgarh,Bilaspur,2025-10,2239,26264,28503,41348
Chhattisgarh,Bilaspur,2025-11,2352,38996,41348,19678
Chhattisgarh,Dakshin Bastar Dantewada,2025-09,157,2442,2599,1726
Chhattisgarh,Dakshin Bastar Dantewada,2025-10,165,1561,1726,3592
Chhattisgarh,Dakshin Bastar Dantewada,2025-11,757,2835,3592,2571
Chhattisgarh,Dantewada,2025-09,82,1515,1597,509
Chhattisgarh,Dantewada,2025-10,63,446,509,2371
Chhattisgarh,Dantewada,2025-11,463,1908,2371,951
Chhattisgarh,Dhamtari,2025-09,711,10430,11141,8509
Chhattisgarh,Dhamtari,2025-10,485,8024,8509,14573
Chhattisgarh,Dhamtari,2025-11,715,13858,14573,5835
Chhattisgarh,Durg,2025-04,768,11618,12386,8104
Chhattisgarh,Durg,2025-07,495,7609,8104,20185
Chhattisgarh,Durg,2025-09,1231,18954,20185,9652
Chhattisgarh,Durg,2025-10,545,9107,9652,40830
Chhattisgarh,Durg,2025-11,1219,39611,40830,11046
Chhattisgarh,Gariyaband,2025-09,587,6111,6698,4636
Chhattisgarh,Gariyaband,2025-10,349,4287,4636,9030
Chhattisgarh,Gariyaband,2025-11,568,8462,9030,4712
Chhattisgarh,Gaurela Pendra Marwahi,2025-09,56,329,385,268
Chhattisgarh,Gaurela Pendra Marwahi,2025-10,40,228,268,351
Chhattisgarh,Gaurela Pendra Marwahi,2025-11,45,306,351,253
Chhattisgarh,Gaurella Pendra Marwahi,2025-06,631,0,631,352
Chhattisgarh,Janjgir Champa,2025-09,1807,18895,20702,23318
Chhattisgarh,Janjgir Champa,2025-10,1233,22085,23318,31258
Chhattisgarh,Janjgir Champa,2025-11,1632,29626,31258,14982
Chhattisgarh,Jashpur,2025-09,740,7360,8100,8451
Chhattisgarh,Jashpur,2025-10,531,7920,8451,20945
Chhattisgarh,Jashpur,2025-11,1079,19866,20945,7153
Chhattisgarh,Kabeerdham,2025-09,343,4326,4669,3478
Chhattisgarh,Kabeerdham,2025-10,218,3260,3478,6417
Chhattisgarh,Kabeerdham,2025-11,284,6133,6417,3506
Chhattisgarh,Kanker,2025-09,665,5005,5670,4179
Chhattisgarh,Kanker,2025-10,419,3760,4179,9249
Chhattisgarh,Kanker,2025-11,577,8672,9249,4779
Chhattisgarh,Kawardha,2025-09,718,9555,10273,9331
Chhattisgarh,Kawardha,2025-10,581,8750,9331,12207
Chhattisgarh,Kawardha,2025-11,745,11462,12207,7364
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-09,63,379,442,270
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-10,51,219,270,581
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-11,110,471,581,345
Chhattisgarh,Kondagaon,2025-09,1049,7116,8165,8166
Chhattisgarh,Kondagaon,2025-10,956,7210,8166,10566
Chhattisgarh,Kondagaon,2025-11,911,9655,10566,6105
Chhattisgarh,Korba,2025-09,1380,14159,15539,14275
Chhattisgarh,Korba,2025-10,1088,13187,14275,13613
Chhattisgarh,Korba,2025-11,1001,12612,13613,7020
Chhattisgarh,Koriya,2025-09,644,6432,7076,6947
Chhattisgarh,Koriya,2025-10,547,6400,6947,7666
Chhattisgarh,Koriya,2025-11,501,7165,7666,6192
Chhattisgarh,Mahasamund,2025-09,1323,12246,13569,9995
Chhattisgarh,Mahasamund,2025-10,805,9190,9995,19866
Chhattisgarh,Mahasamund,2025-11,1271,18595,19866,10076
Chhattisgarh,Manendragarh Chirmiri Bharatpur,2025-09,104,530,634,450
Chhattisgarh,Manendragarh Chirmiri Bharatpur,2025-10,76,374,450,518
Chhattisgarh,Manendragarh Chirmiri Bharatpur,2025-11,94,424,518,600
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-09,1,0,1,13
Chhattisgarh,Mohalla Manpur Ambagarh Chowki,2025-11,11,2,13,2
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-09,89,1388,1477,441
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-10,68,373,441,1411
Chhattisgarh,Mohla Manpur Ambagarh Chouki,2025-11,114,1297,1411,1253
Chhattisgarh,Mungeli,2025-09,1026,9610,10636,10238
Chhattisgarh,Mungeli,2025-10,789,9449,10238,18346
Chhattisgarh,Mungeli,2025-11,1071,17275,18346,9173
Chhattisgarh,Narayanpur,2025-09,279,2561,2840,1731
Chhattisgarh,Narayanpur,2025-10,148,1583,1731,2183
Chhattisgarh,Narayanpur,2025-11,221,1962,2183,1664
Chhattisgarh,Raigarh,2025-07,1522,6505,8027,36536
Chhattisgarh,Raigarh,2025-09,1638,34898,36536,21834
Chhattisgarh,Raigarh,2025-10,894,20940,21834,25418
Chhattisgarh,Raigarh,2025-11,1057,24361,25418,10436
Chhattisgarh,Raipur,2025-03,100,0,100,3745
Chhattisgarh,Raipur,2025-04,322,3423,3745,24147
Chhattisgarh,Raipur,2025-09,2314,21833,24147,12599
Chhattisgarh,Raipur,2025-10,1612,10987,12599,36185
Chhattisgarh,Raipur,2025-11,2995,33190,36185,18979
Chhattisgarh,Rajnandgaon,2025-09,1365,17211,18576,13952
Chhattisgarh,Rajnandgaon,2025-10,933,13019,13952,29600
Chhattisgarh,Rajnandgaon,2025-11,1978,27622,29600,13142
Chhattisgarh,Sakti,2025-09,201,846,1047,630
Chhattisgarh,Sakti,2025-10,87,543,630,1720
Chhattisgarh,Sakti,2025-11,155,1565,1720,553
Chhattisgarh,Sarangarh Bilaigarh,2025-09,31,208,239,229
Chhattisgarh,Sarangarh Bilaigarh,2025-10,37,192,229,776
Chhattisgarh,Sarangarh Bilaigarh,2025-11,64,712,776,1059
Chhattisgarh,Sukma,2025-04,381,387,768,588
Chhattisgarh,Sukma,2025-05,252,336,588,1833
Chhattisgarh,Sukma,2025-07,363,1470,1833,4752
Chhattisgarh,Sukma,2025-09,323,4429,4752,2887
Chhattisgarh,Sukma,2025-10,217,2670,2887,3714
Chhattisgarh,Sukma,2025-11,315,3399,3714,4106
Chhattisgarh,Surajpur,2025-09,1105,12613,13718,11096
Chhattisgarh,Surajpur,2025-10,759,10337,11096,11950
Chhattisgarh,Surajpur,2025-11,902,11048,11950,8430
Chhattisgarh,Surguja,2025-09,1505,17161,18666,12451
Chhattisgarh,Surguja,2025-10,797,11654,12451,18694
Chhattisgarh,Surguja,2025-11,1078,17616,18694,12650
Chhattisgarh,Uttar Bastar Kanker,2025-09,295,2409,2704,1732
Chhattisgarh,Uttar Bastar Kanker,2025-10,198,1534,1732,3226
Chhattisgarh,Uttar Bastar Kanker,2025-11,283,2943,3226,2424
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-06,249,0,249,467
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-07,467,0,467,6663
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-09,403,6260,6663,1671
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-10,146,1525,1671,2575
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-11,216,2359,2575,1037
Dadra And Nagar Haveli And Daman And Diu,Dadra Nagar Haveli,2025-09,13,68,81,29
Dadra And Nagar Haveli And Daman And Diu,Dadra Nagar Haveli,2025-10,6,23,29,42
Dadra And Nagar Haveli And Daman And Diu,Dadra Nagar Haveli,2025-11,10,32,42,6
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-09,49,396,445,83
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-10,13,70,83,313
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-11,61,252,313,136
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-09,28,43,71,47
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-10,19,28,47,277
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-11,29,248,277,68
Delhi,Central Delhi,2025-04,133,911,1044,3650
Delhi,Central Delhi,2025-05,333,3317,3650,1558
Delhi,Central Delhi,2025-06,194,1364,1558,3798
Delhi,Central Delhi,2025-07,1152,2646,3798,8194
Delhi,Central Delhi,2025-09,808,7386,8194,4173
Delhi,Central Delhi,2025-10,474,3699,4173,8053
Delhi,Central Delhi,2025-11,772,7281,8053,3710
Delhi,East Delhi,2025-04,1824,26570,28394,17628
Delhi,East Delhi,2025-05,1378,16250,17628,27816
Delhi,East Delhi,2025-06,1970,25846,27816,37964
Delhi,East Delhi,2025-07,3756,34208,37964,21593
Delhi,East Delhi,2025-09,2269,19324,21593,11874
Delhi,East Delhi,2025-10,1355,10519,11874,19335
Delhi,East Delhi,2025-11,1813,17522,19335,10831
Delhi,Najafgarh,2025-09,14,34,48,21
Delhi,Najafgarh,2025-10,4,17,21,57
Delhi,Najafgarh,2025-11,13,44,57,4
Delhi,New Delhi,2025-06,363,0,363,1349
Delhi,New Delhi,2025-07,1091,258,1349,549
Delhi,New Delhi,2025-09,70,479,549,227
Delhi,New Delhi,2025-10,34,193,227,569
Delhi,New Delhi,2025-11,62,507,569,291
Delhi,North Delhi,2025-06,598,0,598,901
Delhi,North Delhi,2025-07,901,0,901,10787
Delhi,North Delhi,2025-09,968,9819,10787,5461
Delhi,North Delhi,2025-10,626,4835,5461,8936
Delhi,North Delhi,2025-11,1107,7829,8936,6444
Delhi,North East,2025-09,675,4453,5128,2976
Delhi,North East,2025-10,395,2581,2976,5011
Delhi,North East,2025-11,594,4417,5011,2183
Delhi,North East Delhi,2025-06,1577,12527,14104,46128
Delhi,North East Delhi,2025-07,7356,38772,46128,22773
Delhi,North East Delhi,2025-09,2345,20428,22773,11620
Delhi,North East Delhi,2025-10,1557,10063,11620,20102
Delhi,North East Delhi,2025-11,1945,18157,20102,13409
Delhi,North West Delhi,2025-03,60,0,60,33215
Delhi,North West Delhi,2025-04,1715,31500,33215,5159
Delhi,North West Delhi,2025-05,644,4515,5159,8032
Delhi,North West Delhi,2025-06,798,7234,8032,15097
Delhi,North West Delhi,2025-07,1685,13412,15097,48596
Delhi,North West Delhi,2025-09,4445,44151,48596,24457
Delhi,North West Delhi,2025-10,2541,21916,24457,42413
Delhi,North West Delhi,2025-11,4431,37982,42413,21820
Delhi,Shahdara,2025-04,319,3123,3442,632
Delhi,Shahdara,2025-05,133,499,632,3610
Delhi,Shahdara,2025-07,799,2811,3610,1759
Delhi,Shahdara,2025-09,212,1547,1759,883
Delhi,Shahdara,2025-10,90,793,883,1565
Delhi,Shahdara,2025-11,131,1434,1565,757
Delhi,South Delhi,2025-04,563,7934,8497,2889
Delhi,South Delhi,2025-05,333,2556,2889,11134
Delhi,South Delhi,2025-06,911,10223,11134,10801
Delhi,South Delhi,2025-07,1559,9242,10801,31497
Delhi,South Delhi,2025-09,3643,27854,31497,19790
Delhi,South Delhi,2025-10,2728,17062,19790,30546
Delhi,South Delhi,2025-11,3646,26900,30546,14450
Delhi,South East Delhi,2025-09,19,57,76,38
Delhi,South East Delhi,2025-10,7,31,38,146
Delhi,South East Delhi,2025-11,25,121,146,116
Delhi,South West Delhi,2025-04,1458,30132,31590,8950
Delhi,South West Delhi,2025-05,684,8266,8950,2411
Delhi,South West Delhi,2025-06,321,2090,2411,15334
Delhi,South West Delhi,2025-07,1408,13926,15334,23828
Delhi,South West Delhi,2025-09,2583,21245,23828,13198
Delhi,South West Delhi,2025-10,1557,11641,13198,21255
Delhi,South West Delhi,2025-11,2178,19077,21255,10762
Delhi,West Delhi,2025-03,308,0,308,63868
Delhi,West Delhi,2025-04,3341,60527,63868,13339
Delhi,West Delhi,2025-05,2076,11263,13339,26219
Delhi,West Delhi,2025-06,2414,23805,26219,45524
Delhi,West Delhi,2025-07,5352,40172,45524,28427
Delhi,West Delhi,2025-09,3070,25357,28427,14479
Delhi,West Delhi,2025-10,1587,12892,14479,26147
Delhi,West Delhi,2025-11,2529,23618,26147,11231
Goa,Bardez,2025-09,1,0,1,1
Goa,North Goa,2025-07,42,86,128,3426
Goa,North Goa,2025-09,558,2868,3426,2789
Goa,North Goa,2025-10,302,2487,2789,4359
Goa,North Goa,2025-11,430,3929,4359,1055
Goa,South Goa,2025-09,385,2433,2818,1920
Goa,South Goa,2025-10,223,1697,1920,3100
Goa,South Goa,2025-11,345,2755,3100,1107
Gujarat,Ahmedabad,2025-04,122,916,1038,21134
Gujarat,Ahmedabad,2025-05,1200,19934,21134,1745
Gujarat,Ahmedabad,2025-06,1225,520,1745,8980
Gujarat,Ahmedabad,2025-07,5306,3674,8980,66534
Gujarat,Ahmedabad,2025-09,7202,59332,66534,23714
Gujarat,Ahmedabad,2025-10,3145,20569,23714,62236
Gujarat,Ahmedabad,2025-11,6920,55316,62236,27924
Gujarat,Amreli,2025-04,238,1023,1261,3964
Gujarat,Amreli,2025-07,769,3195,3964,9207
Gujarat,Amreli,2025-09,1241,7966,9207,2794
Gujarat,Amreli,2025-10,433,2361,2794,7417
Gujarat,Amreli,2025-11,1073,6344,7417,3577
Gujarat,Anand,2025-04,241,1335,1576,1304
Gujarat,Anand,2025-05,143,1161,1304,1645
Gujarat,Anand,2025-06,229,1416,1645,6195
Gujarat,Anand,2025-07,1109,5086,6195,14224
Gujarat,Anand,2025-09,2030,12194,14224,3965
Gujarat,Anand,2025-10,798,3167,3965,10411
Gujarat,Anand,2025-11,1793,8618,10411,5129
Gujarat,Arvalli,2025-04,206,1044,1250,2283
Gujarat,Arvalli,2025-07,601,1682,2283,3892
Gujarat,Arvalli,2025-09,637,3255,3892,836
Gujarat,Arvalli,2025-10,208,628,836,2329
Gujarat,Arvalli,2025-11,463,1866,2329,1578
Gujarat,Banaskantha,2025-03,806,0,806,14148
Gujarat,Banaskantha,2025-04,4044,10104,14148,18720
Gujarat,Banaskantha,2025-05,2395,16325,18720,3290
Gujarat,Banaskantha,2025-06,3290,0,3290,9339
Gujarat,Banaskantha,2025-07,9228,111,9339,31140
Gujarat,Banaskantha,2025-09,5392,25748,31140,9858
Gujarat,Banaskantha,2025-10,1752,8106,9858,20093
Gujarat,Banaskantha,2025-11,3313,16780,20093,13484
Gujarat,Bharuch,2025-04,211,1100,1311,9290
Gujarat,Bharuch,2025-05,626,8664,9290,10933
Gujarat,Bharuch,2025-09,1436,9497,10933,3687
Gujarat,Bharuch,2025-10,601,3086,3687,10697
Gujarat,Bharuch,2025-11,1332,9365,10697,4444
Gujarat,Bhavnagar,2025-04,628,2116,2744,2119
Gujarat,Bhavnagar,2025-06,239,1880,2119,11665
Gujarat,Bhavnagar,2025-07,2144,9521,11665,19896
Gujarat,Bhavnagar,2025-09,3099,16797,19896,6391
Gujarat,Bhavnagar,2025-10,1060,5331,6391,17373
Gujarat,Bhavnagar,2025-11,2517,14856,17373,7203
Gujarat,Botad,2025-04,332,580,912,1187
Gujarat,Botad,2025-06,364,823,1187,2423
Gujarat,Botad,2025-07,1090,1333,2423,2627
Gujarat,Botad,2025-09,499,2128,2627,956
Gujarat,Botad,2025-10,142,814,956,1855
Gujarat,Botad,2025-11,447,1408,1855,827
Gujarat,Chhotaudepur,2025-04,482,2934,3416,3021
Gujarat,Chhotaudepur,2025-05,216,2805,3021,141
Gujarat,Chhotaudepur,2025-06,141,0,141,6204
Gujarat,Chhotaudepur,2025-07,1862,4342,6204,4064
Gujarat,Chhotaudepur,2025-09,453,3611,4064,1088
Gujarat,Chhotaudepur,2025-10,221,867,1088,2861
Gujarat,Chhotaudepur,2025-11,527,2334,2861,1409
Gujarat,Dahod,2025-03,110,0,110,13842
Gujarat,Dahod,2025-04,2071,11771,13842,14873
Gujarat,Dahod,2025-05,2080,12793,14873,4561
Gujarat,Dahod,2025-06,3188,1373,4561,10473
Gujarat,Dahod,2025-07,8001,2472,10473,24129
Gujarat,Dahod,2025-09,3631,20498,24129,6935
Gujarat,Dahod,2025-10,1229,5706,6935,17567
Gujarat,Dahod,2025-11,3332,14235,17567,5901
Gujarat,Dang,2025-04,120,1116,1236,4399
Gujarat,Dang,2025-05,261,4138,4399,364
Gujarat,Dang,2025-06,364,0,364,508
Gujarat,Dang,2025-07,508,0,508,3773
Gujarat,Dang,2025-09,445,3328,3773,1278
Gujarat,Dang,2025-10,217,1061,1278,1813
Gujarat,Dang,2025-11,271,1542,1813,796
Gujarat,Devbhumi Dwarka,2025-04,284,1135,1419,1366
Gujarat,Devbhumi Dwarka,2025-05,216,1150,1366,1696
Gujarat,Devbhumi Dwarka,2025-07,577,1119,1696,3386
Gujarat,Devbhumi Dwarka,2025-09,639,2747,3386,985
Gujarat,Devbhumi Dwarka,2025-10,273,712,985,1795
Gujarat,Devbhumi Dwarka,2025-11,412,1383,1795,1267
Gujarat,Gandhinagar,2025-04,789,6707,7496,10680
Gujarat,Gandhinagar,2025-05,590,10090,10680,4304
Gujarat,Gandhinagar,2025-06,312,3992,4304,5459
Gujarat,Gandhinagar,2025-07,547,4912,5459,10369
Gujarat,Gandhinagar,2025-09,1256,9113,10369,3109
Gujarat,Gandhinagar,2025-10,493,2616,3109,9683
Gujarat,Gandhinagar,2025-11,1609,8074,9683,4523
Gujarat,Gir Somnath,2025-04,1706,3527,5233,1464
Gujarat,Gir Somnath,2025-05,260,1204,1464,4032
Gujarat,Gir Somnath,2025-07,1344,2688,4032,4885
Gujarat,Gir Somnath,2025-09,936,3949,4885,2104
Gujarat,Gir Somnath,2025-10,468,1636,2104,4534
Gujarat,Gir Somnath,2025-11,869,3665,4534,2550
Gujarat,Jamnagar,2025-04,316,1356,1672,6753
Gujarat,Jamnagar,2025-05,554,6199,6753,3871
Gujarat,Jamnagar,2025-07,1014,2857,3871,11496
Gujarat,Jamnagar,2025-09,1646,9850,11496,4705
Gujarat,Jamnagar,2025-10,829,3876,4705,9285
Gujarat,Jamnagar,2025-11,1375,7910,9285,4502
Gujarat,Junagadh,2025-04,289,1415,1704,13968
Gujarat,Junagadh,2025-09,2146,11822,13968,4273
Gujarat,Junagadh,2025-10,763,3510,4273,10778
Gujarat,Junagadh,2025-11,1835,8943,10778,6429
Gujarat,Kachchh,2025-03,56,0,56,7168
Gujarat,Kachchh,2025-04,907,6261,7168,1213
Gujarat,Kachchh,2025-05,150,1063,1213,1032
Gujarat,Kachchh,2025-06,133,899,1032,12048
Gujarat,Kachchh,2025-07,1929,10119,12048,13253
Gujarat,Kachchh,2025-09,1957,11296,13253,5953
Gujarat,Kachchh,2025-10,1030,4923,5953,14997
Gujarat,Kachchh,2025-11,2683,12314,14997,7310
Gujarat,Kheda,2025-04,655,4224,4879,1186
Gujarat,Kheda,2025-05,140,1046,1186,2423
Gujarat,Kheda,2025-07,682,1741,2423,17968
Gujarat,Kheda,2025-09,2330,15638,17968,5583
Gujarat,Kheda,2025-10,951,4632,5583,14211
Gujarat,Kheda,2025-11,2675,11536,14211,5405
Gujarat,Mahesana,2025-04,553,3613,4166,1681
Gujarat,Mahesana,2025-05,217,1464,1681,7600
Gujarat,Mahesana,2025-07,1157,6443,7600,14055
Gujarat,Mahesana,2025-09,1618,12437,14055,4377
Gujarat,Mahesana,2025-10,646,3731,4377,12164
Gujarat,Mahesana,2025-11,1839,10325,12164,5392
Gujarat,Mahisagar,2025-04,138,669,807,597
Gujarat,Mahisagar,2025-06,161,436,597,1201
Gujarat,Mahisagar,2025-07,564,637,1201,4334
Gujarat,Mahisagar,2025-09,679,3655,4334,1434
Gujarat,Mahisagar,2025-10,317,1117,1434,2881
Gujarat,Mahisagar,2025-11,557,2324,2881,1388
Gujarat,Morbi,2025-03,71,0,71,6024
Gujarat,Morbi,2025-04,1171,4853,6024,3546
Gujarat,Morbi,2025-05,523,3023,3546,3782
Gujarat,Morbi,2025-06,1169,2613,3782,13850
Gujarat,Morbi,2025-07,3920,9930,13850,4512
Gujarat,Morbi,2025-09,870,3642,4512,2330
Gujarat,Morbi,2025-10,455,1875,2330,4581
Gujarat,Morbi,2025-11,783,3798,4581,1712
Gujarat,Narmada,2025-09,549,4383,4932,1435
Gujarat,Narmada,2025-10,210,1225,1435,2800
Gujarat,Narmada,2025-11,406,2394,2800,1653
Gujarat,Navsari,2025-04,176,958,1134,1292
Gujarat,Navsari,2025-05,158,1134,1292,1308
Gujarat,Navsari,2025-07,257,1051,1308,6188
Gujarat,Navsari,2025-09,832,5356,6188,2633
Gujarat,Navsari,2025-10,346,2287,2633,6637
Gujarat,Navsari,2025-11,926,5711,6637,2168
Gujarat,Panchmahals,2025-04,902,5127,6029,3321
Gujarat,Panchmahals,2025-05,455,2866,3321,1323
Gujarat,Panchmahals,2025-07,1323,0,1323,16188
Gujarat,Panchmahals,2025-09,2006,14182,16188,5908
Gujarat,Panchmahals,2025-10,952,4956,5908,12981
Gujarat,Panchmahals,2025-11,1902,11079,12981,5383
Gujarat,Patan,2025-03,190,0,190,6952
Gujarat,Patan,2025-04,1198,5754,6952,2313
Gujarat,Patan,2025-05,303,2010,2313,1576
Gujarat,Patan,2025-06,298,1278,1576,14820
Gujarat,Patan,2025-07,3151,11669,14820,12190
Gujarat,Patan,2025-09,1703,10487,12190,4084
